Player Name,Player Gender,Player Years Old,Player Card Level,Item Ordered,Number Ordered,Item Cateogry,Bar Order Hour,Bar Order Date Exact,Order Total Dollars
Player 14936,Male,43,Card Type 103,Te Frio Ice Tea Promo,1,PROMO SIN ALCOHOL,2019-06-17 06:00:00,6/17/2019 6:20:38 AM,0.02
Player 18780,Male,57,Card Type 102,Batido de Frutas,1,Platos Fuertes,2019-06-17 13:00:00,6/17/2019 1:25:14 PM,5.00
Player 8811,Male,39,Card Type 103,Coca Cola,1,Platos Fuertes,2019-06-17 21:00:00,6/17/2019 9:01:23 PM,2.00
Player 8811,Male,39,Card Type 103,Cafe Negro con Azucar Promo,1,PROMO SIN ALCOHOL,2019-06-18 00:00:00,6/18/2019 12:21:28 AM,0.02
Player 22020,Female,37,Card Type 1,FDC 4y5 Años,1,Platos Fuertes,2019-06-18 17:00:00,6/18/2019 5:33:21 PM,2.00
Player 7716,Female,39,Card Type 1,Cerveza Sifon con Hielo Promo,1,PROMO CON ALCOHOL,2019-06-18 18:00:00,6/18/2019 6:13:20 PM,0.05
Player 14936,Male,43,Card Type 103,Red Bull,1,Platos Fuertes,2019-06-19 16:00:00,6/19/2019 4:58:36 PM,8.00
Player 14936,Male,43,Card Type 103,Te Frio Ice Tea Promo,1,PROMO SIN ALCOHOL,2019-06-22 14:00:00,6/22/2019 2:16:21 PM,0.02
Player 18269,Male,47,Card Type 1,Te Frio Ice Tea Promo,1,PROMO SIN ALCOHOL,2019-06-22 14:00:00,6/22/2019 2:17:11 PM,0.02
Player 1432,Female,57,Card Type 103,Cafe con Leche y Azucar Promo,1,PROMO SIN ALCOHOL,2019-06-22 21:00:00,6/22/2019 9:57:49 PM,0.02
Player 14936,Male,43,Card Type 103,Dunhill Switch 1/2,1,Tabaco,2019-06-23 11:00:00,6/23/2019 11:56:19 AM,5.00
Player 1432,Female,57,Card Type 103,Te Frio Ice Tea Promo,1,PROMO SIN ALCOHOL,2019-06-23 17:00:00,6/23/2019 5:16:09 PM,0.02
Player 14936,Male,43,Card Type 103,Cerveza Sifon con Hielo Promo,1,PROMO CON ALCOHOL,2019-06-23 18:00:00,6/23/2019 6:38:35 PM,0.05
Player 1432,Female,57,Card Type 103,L&M Blue Menthol 14 Pack,1,Tabaco,2019-06-24 19:00:00,6/24/2019 7:54:31 PM,3.50
