Player Name,Player Gender,Player Years Old,Table Currency,Player Card Level,Promotion Name,Total Promotion Value,Promotion Cost In Dollars,Promotion Issued Date Exact,Promotion Issued Hour
Player 3153,Male,55,$,Card Type 103,Promotion 1000,8.00,8.00,8/18/2019 8:01:10 PM,2019-08-18 20:00:00
Player 5519,Male,78,$,Card Type 1,Promotion 1000,4.00,4.00,8/18/2019 8:19:02 PM,2019-08-18 20:00:00
Player 9528,Male,47,$,Card Type 102,Promotion 1000,5.00,5.00,8/18/2019 8:29:56 PM,2019-08-18 20:00:00
Player 22594,Male,29,$,Card Type 1,Promotion 1000,3.00,3.00,8/18/2019 8:33:10 PM,2019-08-18 20:00:00
Player 1573,Female,63,$,Card Type 101,Promotion 1000,4.00,4.00,8/18/2019 9:07:29 PM,2019-08-18 21:00:00
Player 9166,Female,48,$,Card Type 102,Promotion 1000,10.00,10.00,8/18/2019 9:08:48 PM,2019-08-18 21:00:00
Player 8054,Male,57,$,Card Type 104,Promotion 1000,45.00,45.00,8/18/2019 9:11:07 PM,2019-08-18 21:00:00
Player 1288,Male,51,$,Card Type 1,Promotion 1000,2.00,2.00,8/18/2019 9:21:45 PM,2019-08-18 21:00:00
Player 1287,Female,54,$,Card Type 1,Promotion 1000,2.00,2.00,8/18/2019 9:22:01 PM,2019-08-18 21:00:00
Player 22715,Male,21,$,Card Type 1,Promotion 1000,6.00,6.00,8/18/2019 9:24:52 PM,2019-08-18 21:00:00
Player 10848,Female,41,$,Card Type 102,Promotion 1000,11.00,11.00,8/18/2019 9:26:13 PM,2019-08-18 21:00:00
Player 8811,Male,39,$,Card Type 103,Promotion 1000,15.00,15.00,8/18/2019 9:26:42 PM,2019-08-18 21:00:00
Player 14305,Male,51,$,Card Type 103,Promotion 1000,100.00,100.00,8/18/2019 9:33:55 PM,2019-08-18 21:00:00
Player 22532,Male,23,$,Card Type 1,Promotion 1000,23.00,23.00,8/18/2019 9:34:25 PM,2019-08-18 21:00:00
Player 22088,Female,45,$,Card Type 1,Promotion 1000,8.00,8.00,8/18/2019 9:34:40 PM,2019-08-18 21:00:00
Player 16157,Male,40,$,Card Type 102,Promotion 1000,10.00,10.00,8/18/2019 9:46:57 PM,2019-08-18 21:00:00
Player 1901,Male,58,$,Card Type 102,Promotion 1000,8.00,8.00,8/18/2019 9:52:32 PM,2019-08-18 21:00:00
Player 2523,Male,50,$,Card Type 103,Promotion 1000,9.00,9.00,8/18/2019 9:54:13 PM,2019-08-18 21:00:00
Player 2894,Male,58,$,Card Type 105,Promotion 1000,28.00,28.00,8/18/2019 9:58:21 PM,2019-08-18 21:00:00
Player 16606,Male,43,$,Card Type 1,Promotion 1000,4.00,4.00,8/18/2019 10:00:20 PM,2019-08-18 22:00:00
Player 2894,Male,58,$,Card Type 105,Promotion 1004,25.00,12.50,8/18/2019 10:12:59 PM,2019-08-18 22:00:00
Player 2894,Male,58,$,Card Type 105,Promotion 1004,25.00,12.50,8/18/2019 10:13:17 PM,2019-08-18 22:00:00
Player 2894,Male,58,$,Card Type 105,Promotion 1004,25.00,12.50,8/18/2019 10:13:32 PM,2019-08-18 22:00:00
Player 2894,Male,58,$,Card Type 105,Promotion 1004,25.00,12.50,8/18/2019 10:13:43 PM,2019-08-18 22:00:00
Player 2332,Male,59,$,Card Type 1,Promotion 1000,1.00,1.00,8/18/2019 10:20:18 PM,2019-08-18 22:00:00
Player 2331,Female,44,$,Card Type 1,Promotion 1000,1.00,1.00,8/18/2019 10:20:54 PM,2019-08-18 22:00:00
Player 13669,Male,61,$,Card Type 102,Promotion 1004,5.00,2.50,8/18/2019 10:24:52 PM,2019-08-18 22:00:00
Player 13669,Male,61,$,Card Type 102,Promotion 1004,5.00,2.50,8/18/2019 10:25:10 PM,2019-08-18 22:00:00
Player 13669,Male,61,$,Card Type 102,Promotion 1004,5.00,2.50,8/18/2019 10:25:23 PM,2019-08-18 22:00:00
Player 13669,Male,61,$,Card Type 102,Promotion 1004,5.00,2.50,8/18/2019 10:25:59 PM,2019-08-18 22:00:00
Player 18024,Female,48,$,Card Type 105,Promotion 1000,141.00,141.00,8/18/2019 10:35:35 PM,2019-08-18 22:00:00
Player 14470,Male,55,$,Card Type 105,Promotion 1000,60.00,60.00,8/18/2019 10:45:09 PM,2019-08-18 22:00:00
Player 4859,Male,56,$,Card Type 1,Promotion 1000,2.00,2.00,8/18/2019 10:45:53 PM,2019-08-18 22:00:00
Player 14470,Male,55,$,Card Type 105,Promotion 1004,25.00,12.50,8/18/2019 10:46:35 PM,2019-08-18 22:00:00
Player 14470,Male,55,$,Card Type 105,Promotion 1004,25.00,12.50,8/18/2019 10:46:51 PM,2019-08-18 22:00:00
Player 14470,Male,55,$,Card Type 105,Promotion 1004,25.00,12.50,8/18/2019 10:47:01 PM,2019-08-18 22:00:00
Player 14470,Male,55,$,Card Type 105,Promotion 1004,25.00,12.50,8/18/2019 10:47:13 PM,2019-08-18 22:00:00
Player 3277,Male,53,$,Card Type 1,Promotion 1000,1.00,1.00,8/18/2019 10:52:58 PM,2019-08-18 22:00:00
Player 10888,Male,39,$,Card Type 104,Promotion 1000,39.00,39.00,8/18/2019 11:04:29 PM,2019-08-18 23:00:00
Player 13000,Female,44,$,Card Type 104,Promotion 1000,11.00,11.00,8/18/2019 11:13:37 PM,2019-08-18 23:00:00
Player 13036,Male,36,$,Card Type 103,Promotion 1000,8.00,8.00,8/18/2019 11:13:46 PM,2019-08-18 23:00:00
Player 1735,Female,65,$,Card Type 1,Promotion 1000,11.00,11.00,8/18/2019 11:27:35 PM,2019-08-18 23:00:00
Player 22753,Male,25,$,Card Type 1,Promotion 1000,9.00,9.00,8/18/2019 11:34:46 PM,2019-08-18 23:00:00
Player 1375,Female,51,$,Card Type 102,Promotion 1000,1.00,1.00,8/18/2019 11:37:14 PM,2019-08-18 23:00:00
Player 22270,Female,48,$,Card Type 102,Promotion 1000,4.00,4.00,8/18/2019 11:37:40 PM,2019-08-18 23:00:00
Player 22377,Male,40,$,Card Type 105,Promotion 1000,150.00,150.00,8/18/2019 11:38:32 PM,2019-08-18 23:00:00
Player 7177,Male,58,$,Card Type 101,Promotion 1000,5.00,5.00,8/18/2019 11:45:48 PM,2019-08-18 23:00:00
Player 22399,Male,60,$,Card Type 101,Promotion 1000,5.00,5.00,8/18/2019 11:45:52 PM,2019-08-18 23:00:00
Player 21783,Female,62,$,Card Type 102,Promotion 1000,5.00,5.00,8/18/2019 11:51:35 PM,2019-08-18 23:00:00
Player 22261,Male,30,$,Card Type 1,Promotion 1000,1.00,1.00,8/18/2019 11:52:07 PM,2019-08-18 23:00:00
Player 11018,Male,39,$,Card Type 104,Promotion 1005,63.00,0.00,8/19/2019 12:46:58 AM,2019-08-19 00:00:00
Player 20243,Male,25,$,Card Type 105,Promotion 1010,115.00,115.00,8/19/2019 12:54:17 AM,2019-08-19 00:00:00
Player 19695,Male,31,$,Card Type 102,Promotion 1012,20.00,20.00,8/19/2019 12:04:00 PM,2019-08-19 12:00:00
Player 1618,Female,37,$,Card Type 104,Promotion 1004,10.00,5.00,8/19/2019 1:33:43 PM,2019-08-19 13:00:00
Player 1618,Female,37,$,Card Type 104,Promotion 1004,10.00,5.00,8/19/2019 1:33:57 PM,2019-08-19 13:00:00
Player 1618,Female,37,$,Card Type 104,Promotion 1004,10.00,5.00,8/19/2019 1:34:25 PM,2019-08-19 13:00:00
Player 19570,Male,47,$,Card Type 104,Promotion 1004,25.00,12.50,8/19/2019 3:00:14 PM,2019-08-19 15:00:00
Player 9782,Male,48,$,Card Type 105,Promotion 1004,25.00,12.50,8/19/2019 3:19:24 PM,2019-08-19 15:00:00
Player 9782,Male,48,$,Card Type 105,Promotion 1004,25.00,12.50,8/19/2019 3:19:49 PM,2019-08-19 15:00:00
Player 11018,Male,39,$,Card Type 104,Promotion 1009,51.00,51.00,8/19/2019 5:12:14 PM,2019-08-19 17:00:00
Player 11018,Male,39,$,Card Type 104,Promotion 1004,25.00,12.50,8/19/2019 5:18:35 PM,2019-08-19 17:00:00
Player 11018,Male,39,$,Card Type 104,Promotion 1004,25.00,12.50,8/19/2019 5:18:52 PM,2019-08-19 17:00:00
Player 11018,Male,39,$,Card Type 104,Promotion 1004,10.00,5.00,8/19/2019 5:19:13 PM,2019-08-19 17:00:00
Player 11018,Male,39,$,Card Type 104,Promotion 1004,10.00,5.00,8/19/2019 5:19:24 PM,2019-08-19 17:00:00
Player 11018,Male,39,$,Card Type 104,Promotion 1004,10.00,5.00,8/19/2019 5:19:48 PM,2019-08-19 17:00:00
Player 11018,Male,39,$,Card Type 104,Promotion 1004,10.00,5.00,8/19/2019 5:20:08 PM,2019-08-19 17:00:00
Player 11018,Male,39,$,Card Type 104,Promotion 1004,10.00,5.00,8/19/2019 5:20:19 PM,2019-08-19 17:00:00
Player 2877,Female,67,$,Card Type 105,Promotion 1004,10.00,5.00,8/19/2019 5:20:48 PM,2019-08-19 17:00:00
Player 2877,Female,67,$,Card Type 105,Promotion 1004,10.00,5.00,8/19/2019 5:21:09 PM,2019-08-19 17:00:00
Player 2877,Female,67,$,Card Type 105,Promotion 1004,10.00,5.00,8/19/2019 5:21:20 PM,2019-08-19 17:00:00
Player 15780,Male,29,$,Card Type 103,Promotion 1005,15.00,0.00,8/19/2019 8:47:43 PM,2019-08-19 20:00:00
Player 16088,Female,Unknown,$,Card Type 1,Promotion 1004,5.00,2.50,8/19/2019 8:53:18 PM,2019-08-19 20:00:00
Player 16088,Female,Unknown,$,Card Type 1,Promotion 1004,5.00,2.50,8/19/2019 8:54:49 PM,2019-08-19 20:00:00
Player 16088,Female,Unknown,$,Card Type 1,Promotion 1004,5.00,2.50,8/19/2019 8:55:33 PM,2019-08-19 20:00:00
Player 16088,Female,Unknown,$,Card Type 1,Promotion 1004,5.00,2.50,8/19/2019 8:55:57 PM,2019-08-19 20:00:00
Player 15993,Male,53,$,Card Type 104,Promotion 1004,25.00,12.50,8/19/2019 8:58:03 PM,2019-08-19 20:00:00
Player 15993,Male,53,$,Card Type 104,Promotion 1004,25.00,12.50,8/19/2019 8:58:18 PM,2019-08-19 20:00:00
Player 15993,Male,53,$,Card Type 104,Promotion 1004,25.00,12.50,8/19/2019 8:58:31 PM,2019-08-19 20:00:00
Player 15993,Male,53,$,Card Type 104,Promotion 1004,25.00,12.50,8/19/2019 8:58:44 PM,2019-08-19 20:00:00
Player 15993,Male,53,$,Card Type 104,Promotion 1012,30.00,30.00,8/19/2019 9:01:37 PM,2019-08-19 21:00:00
Player 14470,Male,55,$,Card Type 105,Promotion 1004,25.00,12.50,8/19/2019 9:52:05 PM,2019-08-19 21:00:00
Player 14470,Male,55,$,Card Type 105,Promotion 1004,25.00,12.50,8/19/2019 9:52:18 PM,2019-08-19 21:00:00
Player 2894,Male,58,$,Card Type 105,Promotion 1004,25.00,12.50,8/19/2019 9:52:34 PM,2019-08-19 21:00:00
Player 2894,Male,58,$,Card Type 105,Promotion 1004,25.00,12.50,8/19/2019 9:52:48 PM,2019-08-19 21:00:00
Player 2894,Male,58,$,Card Type 105,Promotion 1004,25.00,12.50,8/19/2019 9:52:58 PM,2019-08-19 21:00:00
Player 2894,Male,58,$,Card Type 105,Promotion 1004,25.00,12.50,8/19/2019 9:53:09 PM,2019-08-19 21:00:00
Player 11717,Female,85,$,Card Type 101,Promotion 1008,10.00,10.00,8/20/2019 3:01:36 PM,2019-08-20 15:00:00
Player 2877,Female,67,$,Card Type 105,Promotion 1004,10.00,5.00,8/20/2019 4:44:12 PM,2019-08-20 16:00:00
Player 2877,Female,67,$,Card Type 105,Promotion 1004,10.00,5.00,8/20/2019 4:44:23 PM,2019-08-20 16:00:00
Player 2877,Female,67,$,Card Type 105,Promotion 1004,10.00,5.00,8/20/2019 4:44:37 PM,2019-08-20 16:00:00
Player 7116,Male,40,$,Card Type 103,Promotion 1009,243.00,243.00,8/20/2019 5:17:35 PM,2019-08-20 17:00:00
Player 15993,Male,53,$,Card Type 104,Promotion 1004,25.00,12.50,8/20/2019 6:52:48 PM,2019-08-20 18:00:00
Player 15993,Male,53,$,Card Type 104,Promotion 1004,25.00,12.50,8/20/2019 6:53:03 PM,2019-08-20 18:00:00
Player 15993,Male,53,$,Card Type 104,Promotion 1004,25.00,12.50,8/20/2019 6:53:22 PM,2019-08-20 18:00:00
Player 15993,Male,53,$,Card Type 104,Promotion 1004,25.00,12.50,8/20/2019 6:53:34 PM,2019-08-20 18:00:00
Player 16088,Female,Unknown,$,Card Type 1,Promotion 1004,10.00,5.00,8/20/2019 6:54:36 PM,2019-08-20 18:00:00
Player 16088,Female,Unknown,$,Card Type 1,Promotion 1004,10.00,5.00,8/20/2019 6:54:49 PM,2019-08-20 18:00:00
Player 16088,Female,Unknown,$,Card Type 1,Promotion 1004,10.00,5.00,8/20/2019 6:55:09 PM,2019-08-20 18:00:00
Player 11018,Male,39,$,Card Type 104,Promotion 1004,10.00,5.00,8/20/2019 7:23:07 PM,2019-08-20 19:00:00
