Player Name,Player Gender,Player Years Old,Player Card Level,Name,Cordobas Won In Raffle,Raffle Drawing Result,Promotion Issued Date Exact,Promotion Issued Hour
Player 14470,Male,55,Card Type 105,viernes 7pm,15000.00,Eliminated,3/26/2019 2:59:33 PM,2019-03-26 14:00:00
Player 5934,Female,52,Card Type 105,viernes 7pm,15000.00,WON,3/29/2019 7:03:50 PM,2019-03-29 19:00:00
Player 21647,Female,77,Card Type 103,viernes 8pm,7500.00,WON,3/29/2019 8:03:12 PM,2019-03-29 20:00:00
Player 2167,Male,37,Card Type 103,viernes 9pm,7500.00,WON,3/29/2019 9:03:27 PM,2019-03-29 21:00:00
Player 4543,Male,59,Card Type 104,viernes 10pm,10000.00,Eliminated,3/29/2019 10:03:55 PM,2019-03-29 22:00:00
Player 19360,Male,67,Card Type 102,viernes 10pm,10000.00,WON,3/29/2019 10:05:31 PM,2019-03-29 22:00:00
Player 13008,Female,75,Card Type 105,viernes 11pm,10000.00,WON,3/29/2019 11:03:19 PM,2019-03-29 23:00:00
Player 4808,Male,48,Card Type 103,viernes 12am,10000.00,WON,3/30/2019 12:03:32 AM,2019-03-30 00:00:00
Player 13008,Female,75,Card Type 105,viernes 1am,40000.00,WON,3/30/2019 1:03:41 AM,2019-03-30 01:00:00
Player 5572,Female,67,Card Type 102,sábado 7pm,15000.00,WON,3/30/2019 7:03:10 PM,2019-03-30 19:00:00
Player 8222,Male,67,Card Type 103,sábado 8pm,7500.00,WON,3/30/2019 8:03:32 PM,2019-03-30 20:00:00
Player 20495,Female,44,Card Type 105,sábado 9pm,7500.00,Eliminated,3/30/2019 9:04:07 PM,2019-03-30 21:00:00
Player 4808,Male,48,Card Type 103,sábado 9pm,7500.00,Eliminated,3/30/2019 9:05:35 PM,2019-03-30 21:00:00
Player 22377,Male,40,Card Type 105,sábado 9pm,7500.00,Eliminated,3/30/2019 9:06:54 PM,2019-03-30 21:00:00
Player 2894,Male,58,Card Type 105,sábado 9pm,7500.00,Eliminated,3/30/2019 9:08:17 PM,2019-03-30 21:00:00
Player 3780,Male,69,Card Type 104,sábado 9pm,7500.00,Eliminated,3/30/2019 9:09:40 PM,2019-03-30 21:00:00
Player 14470,Male,55,Card Type 105,sábado 9pm,7500.00,Eliminated,3/30/2019 9:11:02 PM,2019-03-30 21:00:00
Player 2894,Male,58,Card Type 105,sábado 9pm,7500.00,Eliminated,3/30/2019 9:12:22 PM,2019-03-30 21:00:00
Player 6570,Male,50,Card Type 104,sábado 9pm,7500.00,WON,3/30/2019 9:13:17 PM,2019-03-30 21:00:00
Player 22186,Male,39,Card Type 105,sábado 10pm,10000.00,Eliminated,3/30/2019 10:04:42 PM,2019-03-30 22:00:00
Player 13008,Female,75,Card Type 105,sábado 10pm,10000.00,WON,3/30/2019 10:05:44 PM,2019-03-30 22:00:00
Player 7771,Male,58,Card Type 103,sábado 11pm,10000.00,WON,3/30/2019 11:03:37 PM,2019-03-30 23:00:00
Player 2894,Male,58,Card Type 105,sábado 12am,10000.00,WON,3/31/2019 12:03:24 AM,2019-03-31 00:00:00
Player 22186,Male,39,Card Type 105,sábado 1am,40000.00,Eliminated,3/31/2019 1:04:45 AM,2019-03-31 01:00:00
Player 11484,Male,51,Card Type 105,sábado 1am,40000.00,WON,3/31/2019 1:05:29 AM,2019-03-31 01:00:00
Player 4536,Male,46,Card Type 102,viernes 7pm,15000.00,WON,4/5/2019 7:06:03 PM,2019-04-05 19:00:00
Player 4536,Male,46,Card Type 102,viernes 7pm,15000.00,WON,4/5/2019 7:06:19 PM,2019-04-05 19:00:00
Player 17796,Male,47,Card Type 105,viernes 8pm,7500.00,Eliminated,4/5/2019 8:01:36 PM,2019-04-05 20:00:00
Player 2753,Female,37,Card Type 103,viernes 8pm,7500.00,Eliminated,4/5/2019 8:02:42 PM,2019-04-05 20:00:00
Player 14605,Female,37,Card Type 105,viernes 8pm,7500.00,Eliminated,4/5/2019 8:03:47 PM,2019-04-05 20:00:00
Player 16502,Male,55,Card Type 105,viernes 8pm,7500.00,Eliminated,4/5/2019 8:04:53 PM,2019-04-05 20:00:00
Player 17595,Male,48,Card Type 101,viernes 8pm,7500.00,Eliminated,4/5/2019 8:05:59 PM,2019-04-05 20:00:00
Player 2441,Male,56,Card Type 101,viernes 8pm,7500.00,Eliminated,4/5/2019 8:07:04 PM,2019-04-05 20:00:00
