Slot Name,Model Name,Make Name,Slot Currency,Slot Reading Hour,Games Played This Hour,Dollars Player Bet,Dollars Player Lost,Theory Player Lost Amount,Slot Ideal Payback Percentage
Slot 160,I-Game 044,IGT,$,2019-01-13 11:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 260,Roulette,ZUUM,C$,2019-02-06 02:00:00,1,0.99990,0.99990,0.039996000,0.0400
Slot 219,GK 100 AVP,IGT,C$,2019-01-16 21:00:00,147,151.98260,46.17580,6.079304000,0.0400
Slot 121,A560,Ainsworth,$,2019-03-02 05:00:00,0,0.00000,0.00000,0.000000000,0.0897
Slot 160,I-Game 044,IGT,$,2019-02-02 18:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 160,I-Game 044,IGT,$,2019-02-26 20:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 160,I-Game 044,IGT,$,2019-02-13 01:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 219,GK 100 AVP,IGT,C$,2019-02-13 01:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 151,Novostar II US$,Novomatic,$,2019-03-09 06:00:00,0,0.00000,0.00000,0.000000000,0.0515
Slot 121,A560,Ainsworth,$,2019-03-21 13:00:00,0,0.00000,0.00000,0.000000000,0.0897
Slot 151,Novostar II US$,Novomatic,$,2019-01-30 09:00:00,0,0.00000,0.00000,0.000000000,0.0515
Slot 121,A560,Ainsworth,$,2019-02-16 12:00:00,0,0.00000,0.00000,0.000000000,0.0897
Slot 160,I-Game 044,IGT,$,2019-02-09 13:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 151,Novostar II US$,Novomatic,$,2019-03-02 05:00:00,0,0.00000,0.00000,0.000000000,0.0515
Slot 260,Roulette,ZUUM,C$,2019-02-26 20:00:00,8,13.69560,13.69560,0.547824000,0.0400
Slot 330,Oxygen Slant NIO C$,Atronic,C$,2019-01-03 11:00:00,551,15.59424,1.53295,1.247539200,0.0800
Slot 260,Roulette,ZUUM,C$,2019-01-10 05:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 160,I-Game 044,IGT,$,2019-01-16 21:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 330,Oxygen Slant NIO C$,Atronic,C$,2019-01-23 12:00:00,557,7.99800,1.31688,0.639840000,0.0800
Slot 285,Bluebird 2,Williams,$,2019-01-03 11:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 219,GK 100 AVP,IGT,C$,2019-02-09 13:00:00,109,330.27000,106.05000,13.210800000,0.0400
Slot 121,A560,Ainsworth,$,2019-01-27 01:00:00,0,0.00000,0.00000,0.000000000,0.0897
Slot 121,A560,Ainsworth,$,2019-02-20 00:00:00,0,0.00000,0.00000,0.000000000,0.0897
Slot 151,Novostar II US$,Novomatic,$,2019-03-15 23:00:00,0,0.00000,0.00000,0.000000000,0.0515
Slot 330,Oxygen Slant NIO C$,Atronic,C$,2019-01-06 21:00:00,498,15.09669,5.26504,1.207735200,0.0800
Slot 330,Oxygen Slant NIO C$,Atronic,C$,2019-01-13 12:00:00,685,22.61853,7.13372,1.809482400,0.0800
Slot 285,Bluebird 2,Williams,$,2019-01-20 04:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 285,Bluebird 2,Williams,$,2019-01-10 05:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 121,A560,Ainsworth,$,2019-02-13 02:00:00,0,0.00000,0.00000,0.000000000,0.0897
Slot 330,Oxygen Slant NIO C$,Atronic,C$,2019-02-06 03:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 151,Novostar II US$,Novomatic,$,2019-03-12 11:00:00,0,0.00000,0.00000,0.000000000,0.0515
Slot 219,GK 100 AVP,IGT,C$,2019-01-10 05:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 330,Oxygen Slant NIO C$,Atronic,C$,2019-01-16 22:00:00,739,21.57600,6.79241,1.726080000,0.0800
