Table Name,Player Name,Player Gender,Player Years Old,Play Start Date Exact,Play End Date Exact,Total Minutes Played This Session,Play Start Date Hour,Play End Date Hour,Table Currency,Player Card Level,Session Cash Buy In Dollars,Session Chips Buy In Dollars,Session Cash Out Amount Dollars,Session Player Lost Dollars,Session Player Average Bet,Number of Bets Per Hour,Hold Percentage
BJ-3,Player 1008,Male,Unknown,1/7/2019 10:20:00 AM,1/7/2019 10:21:00 AM,1,2019-01-07 10:00:00,2019-01-07 10:00:00,$,Card Type 1,100,0,0,100,0,50,0.02500
BJ-3,Player 1008,Male,Unknown,1/11/2019 10:35:00 AM,1/11/2019 10:45:00 AM,10,2019-01-11 10:00:00,2019-01-11 10:00:00,$,Card Type 1,70,0,15,55,0,50,0.02500
AR-1,Player 1008,Male,Unknown,1/11/2019 3:36:00 PM,1/11/2019 3:50:00 PM,14,2019-01-11 15:00:00,2019-01-11 15:00:00,$,Card Type 1,40,0,80,-40,0,50,0.05260
BJ-3,Player 1008,Male,Unknown,1/12/2019 2:48:00 PM,1/12/2019 2:49:00 PM,1,2019-01-12 14:00:00,2019-01-12 14:00:00,$,Card Type 1,100,0,0,100,0,50,0.02500
AR-1,Player 1008,Male,Unknown,1/17/2019 9:33:00 PM,1/17/2019 9:34:00 PM,1,2019-01-17 21:00:00,2019-01-17 21:00:00,$,Card Type 1,140,0,0,140,0,50,0.05260
AR-1,Player 1008,Male,Unknown,1/17/2019 10:08:00 PM,1/17/2019 11:09:00 PM,61,2019-01-17 22:00:00,2019-01-17 23:00:00,$,Card Type 1,20,0,0,20,0,50,0.05260
CSP-1,Player 1008,Male,Unknown,1/18/2019 10:55:00 PM,1/18/2019 11:50:00 PM,55,2019-01-18 22:00:00,2019-01-18 23:00:00,$,Card Type 1,200,0,10,190,0,15,0.01500
BJ-1,Player 1008,Male,Unknown,1/19/2019 1:53:00 AM,1/19/2019 1:58:00 AM,5,2019-01-19 01:00:00,2019-01-19 01:00:00,$,Card Type 1,0,15,55,-40,0,50,0.02500
BJ-3,Player 1008,Male,Unknown,1/19/2019 3:37:00 AM,1/19/2019 3:38:00 AM,1,2019-01-19 03:00:00,2019-01-19 03:00:00,$,Card Type 1,0,75,150,-75,0,50,0.02500
BJ-2,Player 1008,Male,Unknown,1/19/2019 10:00:00 PM,1/19/2019 10:01:00 PM,1,2019-01-19 22:00:00,2019-01-19 22:00:00,$,Card Type 1,200,0,240,-40,0,50,0.02500
BJ-3,Player 1008,Male,Unknown,1/20/2019 5:43:00 PM,1/20/2019 5:50:00 PM,7,2019-01-20 17:00:00,2019-01-20 17:00:00,$,Card Type 1,60,0,0,60,0,50,0.02500
CSP-1,Player 1008,Male,Unknown,1/25/2019 8:27:00 PM,1/25/2019 10:38:00 PM,131,2019-01-25 20:00:00,2019-01-25 22:00:00,$,Card Type 1,300,0,0,300,0,15,0.01500
CSP-1,Player 1008,Male,Unknown,1/25/2019 9:23:00 PM,1/25/2019 9:24:00 PM,1,2019-01-25 21:00:00,2019-01-25 21:00:00,$,Card Type 1,140,0,210,-70,0,15,0.01500
BJ-3,Player 1008,Male,Unknown,1/26/2019 8:39:00 PM,1/26/2019 8:41:00 PM,2,2019-01-26 20:00:00,2019-01-26 20:00:00,$,Card Type 1,55,0,0,55,0,50,0.02500
BJ-3,Player 1008,Male,Unknown,1/31/2019 6:49:00 PM,1/31/2019 7:01:00 PM,12,2019-01-31 18:00:00,2019-01-31 19:00:00,$,Card Type 1,100,0,120,-20,0,50,0.02500
BJ-3,Player 1008,Male,Unknown,1/31/2019 7:22:00 PM,1/31/2019 7:58:00 PM,36,2019-01-31 19:00:00,2019-01-31 19:00:00,$,Card Type 1,100,0,120,-20,0,50,0.02500
BJ-3,Player 1008,Male,Unknown,2/2/2019 6:14:00 PM,2/2/2019 8:20:00 PM,126,2019-02-02 18:00:00,2019-02-02 20:00:00,$,Card Type 1,40,0,92,-52,0,50,0.02500
